,Country,People,Total_number_of_astronaut ,Number_of_Satilites,,,Purpose,Amount,,Launches,Name,Flight_Time
,,,,,,,,,,,Gerhard Thiele,000:00:127
,,,,,,,,,,,Igor Volk,000:00:128
,,,,,,,,,,,Yuri Malyshev,000:00:129
,,,,,,,,,,,Vladimir Aksyonov,000:00:130
,,,,,,,,,,,Bjarni Tryggvason,000:00:131
,,,,,,,,,,,Richard Garriott,000:00:132
,,,,,,,,,,,Donald Williams,000:00:133
,,,,,,,,,,,Robert Stewart,000:00:134
,,,,,,,,,,,Buzz Aldrin,000:00:135
,,,,,,,,,,,Robert Overmyer,000:00:136
,,,,,,,,,,,Alfred Worden,000:00:137
,,,,,,,,,,,James Irwin,000:00:138
,,,,,,,,,,,Walter Schirra,000:00:139
,,,,,,,,,,,Harrison Schmitt,000:00:140
,,,,,,,,,,,Ronald Evans,000:00:141
,,,,,,,,,,,Liu Wang,000:00:142
,,,,,,,,,,,Liu Yang,000:00:143
,,,,,,,,,,,Barbara Morgan,000:00:144
,,,,,,,,,,,Stanley G. Love,000:00:145
,,,,,,,,,,,Lisa Nowak,000:00:146
,,,,,,,,,,,Paul W. Richards,000:00:147
,,,,,,,,,,,Joan Higginbotham,000:00:148
,,,,,,,,,,,William Oefelein,000:00:149
,,,,,,,,,,,Gregory C. Johnson,000:00:150
,,,,,,,,,,,Bruce McCandless II,000:00:151
,,,,,,,,,,,"William E. Thornton, M.D.",000:00:152
,,,,,,,,,,,Bruce Melnick,000:00:153
,,,,,,,,,,,Joseph P. Allen,000:00:154
,,,,,,,,,,,Richard Gordon,000:00:155
,,,,,,,,,,,John Fabian,000:00:156
,,,,,,,,,,,Guy Gardner,000:00:157
,,,,,,,,,,,Kenneth Reightler,000:00:158
,,,,,,,,,,,Eugene Trinh,000:00:159
,,,,,,,,,,,Lawrence J. DeLucas,000:00:160
,,,,,,,,,,,"Philippe Perrin, EAC",000:00:161
,,,,,,,,,,,José Hernández,000:00:162
,,,,,,,,,,,Charles Camarda,000:00:163
,,,,,,,,,,,James Adamson,000:00:164
,,,,,,,,,,,Martin J. Fettman,000:00:165
,,,,,,,,,,,Dale Gardner,000:00:166
,,,,,,,,,,,"James P. Bagian, M.D.",000:00:167
,,,,,,,,,,,"James ""Ox"" van Hoften",000:00:168
,,,,,,,,,,,James McDivitt,000:00:169
,,,,,,,,,,,Sally Ride,000:00:170
,,,,,,,,,,,Wang Yaping,000:00:171
,,,,,,,,,,,Zhang Xiaoguang,000:00:172
,,,,,,,,,,,John Herrington,000:00:173
,,,,,,,,,,,Richard Mullane,000:00:174
,,,,,,,,,,,Dorothy M. Metcalf-Lindenburger,000:00:175
,,,,,,,,,,,James Dutton,000:00:176
,,,,,,,,,,,Naoko Yamazaki,000:00:177
,,,,,,,,,,,Leonid Kadeniuk,000:00:178
,,,,,,,,,,,Yuri Artyukhin,000:00:179
,,,,,,,,,,,Maurizio Cheli,000:00:180
,,,,,,,,,,,James Pawelczyk,000:00:181
,,,,,,,,,,,"Jay C. Buckey, M.D.",000:00:182
,,,,,,,,,,,Albert Sacco,000:00:183
,,,,,,,,,,,Frederick W. Leslie,000:00:184
,,,,,,,,,,,David M. Brown,000:00:185
,,,,,,,,,,,Ilan Ramon,000:00:186
,,,,,,,,,,,"Laurel B. Clark, M.D.",000:00:187
,,,,,,,,,,,William C. McCool,000:00:188
,,,,,,,,,,,Charles Fullerton,000:00:189
,,,,,,,,,,,Bryan O'Connor,000:00:190
,,,,,,,,,,,Karol Bobko,000:00:191
,,,,,,,,,,,Loren Shriver,000:00:192
,,,,,,,,,,,William Gregory,000:00:193
,,,,,,,,,,,John O. Creighton,000:00:194
,,,,,,,,,,,"Charles E. Brady, Jr., M.D.",000:00:195
,,,,,,,,,,,Jean-Jacques Favier,000:00:196
,,,,,,,,,,,George Nelson,000:00:197
,,,,,,,,,,,Ronald Sega,000:00:198
,,,,,,,,,,,Yuri Glazkov,000:00:199
,,,,,,,,,,,Charles Veach,000:00:200
,,,,,,,,,,,Frederick Hauck,000:00:201
,,,,,,,,,,,"Bernard A. Harris, Jr.",000:00:202
,,,,,,,,,,,Pavel Popovich,000:00:203
,,,,,,,,,,,"Michel Tognini, EAC",000:00:204
,,,,,,,,,,,Valeri Kubasov,000:00:205
,,,,,,,,,,,Mary Ellen Weber,000:00:206
,,,,,,,,,,,Pedro Duque,000:00:207
,,,,,,,,,,,Frederick Gregory,000:00:208
,,,,,,,,,,,Mamoru Mohri,000:00:209
,,,,,,,,,,,Byron Lichtenberg,000:00:210
,,,,,,,,,,,Robert Parker,000:00:211
,,,,,,,,,,,Lloyd Hammond,000:00:212
,,,,,,,,,,,Michael Coats,000:00:213
,,,,,,,,,,,Niè Hǎishèng,000:00:214
,,,,,,,,,,,Gregory Linteris,000:00:215
,,,,,,,,,,,Roger K. Crouch,000:00:216
,,,,,,,,,,,Susan Still Kilrain,000:00:217
,,,,,,,,,,,Reinhold Ewald,000:00:218
,,,,,,,,,,,Svetlana Savitskaya,000:00:219
,,,,,,,,,,,Yuri Baturin,000:00:220
,,,,,,,,,,,Frank Borman,000:00:221
,,,,,,,,,,,Charles D. Walker,000:00:222
,,,,,,,,,,,Carlos I. Noriega,000:00:223
,,,,,,,,,,,John Lounge,000:00:224
,,,,,,,,,,,Henry Hartsfield,000:00:225
,,,,,,,,,,,Sidney Gutierrez,000:00:226
,,,,,,,,,,,James Buchli,000:00:227
,,,,,,,,,,,David Hilmers,000:00:228
,,,,,,,,,,,Oleg Makarov,000:00:229
,,,,,,,,,,,Valery Bykovsky,000:00:230
,,,,,,,,,,,Thomas Patten Stafford,000:00:231
,,,,,,,,,,,"Thomas Kenneth ""Ken"" Mattingly II",000:00:232
,,,,,,,,,,,Steven MacLean,000:00:233
,,,,,,,,,,,Andriyan Nikolayev,000:00:234
,,,,,,,,,,,David Leestma,000:00:235
,,,,,,,,,,,Kathryn Sullivan,000:00:236
,,,,,,,,,,,Brewster Shaw,000:00:237
,,,,,,,,,,,Hans Schlegel,000:00:238
,,,,,,,,,,,David Scott,000:00:239
,,,,,,,,,,,"Mario Runco, Jr.",000:00:240
,,,,,,,,,,,Kenneth D. Cameron,000:00:241
,,,,,,,,,,,Leland D. Melvin,000:00:242
,,,,,,,,,,,Robert Crippen,000:00:243
,,,,,,,,,,,Stephen Frick,000:00:244
,,,,,,,,,,,Eugene Cernan,000:00:245
,,,,,,,,,,,"Chiaki Mukai, M.D.",000:00:246
,,,,,,,,,,,Michael Massimino,000:00:247
,,,,,,,,,,,Georgi Dobrovolski,000:00:248
,,,,,,,,,,,Viktor Patsayev,000:00:249
,,,,,,,,,,,Charles Gemar,000:00:250
